epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,345.999,0.71649,1.02236,1.04965,0.48062,0.63333,0.48742,0.2248,1.8458,2.29533,1.75011,0.000704644,0.000704644,0.000704644
43,354.076,0.72389,1.13836,1.09214,0.48062,0.63333,0.48742,0.2248,1.8458,2.29533,1.75011,0.000709599,0.000709599,0.000709599
44,361.752,0.61925,1.00107,1.028,0.56675,0.63333,0.52568,0.22618,2.02825,2.16735,1.76364,0.000713987,0.000713987,0.000713987
45,369.318,0.71403,0.91796,1.04496,0.56675,0.63333,0.52568,0.22618,2.02825,2.16735,1.76364,0.00071781,0.00071781,0.00071781
46,376.853,0.70934,1.00247,1.1023,0.65767,0.61104,0.55529,0.25914,2.25022,2.22537,1.86932,0.000721066,0.000721066,0.000721066
47,384.267,0.60178,0.95304,0.99726,0.65767,0.61104,0.55529,0.25914,2.25022,2.22537,1.86932,0.000723757,0.000723757,0.000723757
48,391.587,0.69747,1.05034,1.03483,0.65349,0.6144,0.58622,0.22113,2.38353,2.28491,1.88072,0.000725882,0.000725882,0.000725882
49,398.845,0.59997,0.87751,0.99125,0.65349,0.6144,0.58622,0.22113,2.38353,2.28491,1.88072,0.000727441,0.000727441,0.000727441
50,406.218,0.73208,0.98156,1.05933,0.66152,0.6472,0.58349,0.22285,2.60255,2.25956,1.94637,0.000728434,0.000728434,0.000728434
51,413.753,0.71244,0.9613,1.06081,0.66152,0.6472,0.58349,0.22285,2.60255,2.25956,1.94637,0.000721645,0.000721645,0.000721645
52,421.177,0.72096,0.93152,1.0374,0.65145,0.61667,0.56616,0.23429,2.5386,2.47932,1.82859,0.000707498,0.000707498,0.000707498
53,428.638,0.65276,0.92068,1.0457,0.65145,0.61667,0.56616,0.23429,2.5386,2.47932,1.82859,0.000693351,0.000693351,0.000693351
54,436.084,0.58351,0.85467,1.00342,0.62183,0.70882,0.71788,0.30428,2.30783,2.19952,1.6475,0.000679204,0.000679204,0.000679204
55,443.477,0.71601,0.91723,1.03226,0.62183,0.70882,0.71788,0.30428,2.30783,2.19952,1.6475,0.000665057,0.000665057,0.000665057
56,450.887,0.71519,0.95017,0.99178,0.81749,0.81667,0.78529,0.37318,2.2044,1.83523,1.67236,0.000650909,0.000650909,0.000650909
57,458.17,0.59058,0.87045,1.0176,0.81749,0.81667,0.78529,0.37318,2.2044,1.83523,1.67236,0.000636762,0.000636762,0.000636762
58,465.499,0.50856,0.81742,0.95872,0.7139,0.73333,0.63857,0.35097,2.07348,1.7765,1.60929,0.000622615,0.000622615,0.000622615
59,472.844,0.58512,0.89265,0.9932,0.7139,0.73333,0.63857,0.35097,2.07348,1.7765,1.60929,0.000608468,0.000608468,0.000608468
60,480.164,0.53026,0.76291,0.96388,0.67347,0.63333,0.62417,0.32414,2.11134,1.98671,1.64215,0.000594321,0.000594321,0.000594321
61,487.503,0.66992,0.84775,0.99613,0.67347,0.63333,0.62417,0.32414,2.11134,1.98671,1.64215,0.000580174,0.000580174,0.000580174
62,494.944,0.60048,0.8043,0.98826,0.56902,0.55,0.54159,0.31994,2.00573,2.24385,1.71745,0.000566027,0.000566027,0.000566027
63,502.475,0.54155,0.83858,0.9846,0.56902,0.55,0.54159,0.31994,2.00573,2.24385,1.71745,0.00055188,0.00055188,0.00055188
64,509.79,0.59632,0.84458,0.98391,0.58306,0.53782,0.51765,0.31509,1.95757,2.18733,1.58757,0.000537733,0.000537733,0.000537733
65,517.197,0.5387,0.79434,1.00045,0.58306,0.53782,0.51765,0.31509,1.95757,2.18733,1.58757,0.000523586,0.000523586,0.000523586
66,524.574,0.56318,0.81128,0.9912,0.49129,0.71017,0.56048,0.36835,1.67351,2.00586,1.4167,0.000509438,0.000509438,0.000509438
67,532.063,0.56783,0.76954,0.98393,0.49129,0.71017,0.56048,0.36835,1.67351,2.00586,1.4167,0.000495291,0.000495291,0.000495291
68,539.484,0.5493,0.74173,0.96827,0.6423,0.63959,0.58507,0.34888,1.40797,1.92439,1.35576,0.000481144,0.000481144,0.000481144
